kind,id,type,i,j,aux,x_m,y_m,z_m,level,status,restraint,axis
N,608006,NODE,,,,-3.22,13.045,19.8,5,MANUAL_WALL_NODE,false,W9
N,609002,NODE,,,,-0.25,12.25,3.96,1,MANUAL_WALL_NODE,false,W10
N,609003,NODE,,,,1.4125,12.25,7.92,2,MANUAL_WALL_NODE,false,W10
N,609004,NODE,,,,3.075000000000001,12.25,11.88,3,MANUAL_WALL_NODE,false,W10
N,609005,NODE,,,,4.7375,12.25,15.84,4,MANUAL_WALL_NODE,false,W10
N,609006,NODE,,,,6.4,12.25,19.8,5,MANUAL_WALL_NODE,false,W10
N,610001,NODE,,,,3.6,10.0,0.0,0,MANUAL_WALL_NODE,true,W11
N,610002,NODE,,,,3.6,10.45,3.96,1,MANUAL_WALL_NODE,false,W11
N,610003,NODE,,,,3.6,10.9,7.92,2,MANUAL_WALL_NODE,false,W11
N,610004,NODE,,,,3.6,11.35,11.88,3,MANUAL_WALL_NODE,false,W11
N,610005,NODE,,,,3.6,11.8,15.84,4,MANUAL_WALL_NODE,false,W11
N,610006,NODE,,,,3.6,12.25,19.8,5,MANUAL_WALL_NODE,false,W11
N,611001,NODE,,,,6.4,10.0,0.0,0,MANUAL_WALL_NODE,true,W12
N,611002,NODE,,,,6.4,10.45,3.96,1,MANUAL_WALL_NODE,false,W12
N,611003,NODE,,,,6.4,10.9,7.92,2,MANUAL_WALL_NODE,false,W12
N,611004,NODE,,,,6.4,11.35,11.88,3,MANUAL_WALL_NODE,false,W12
N,611005,NODE,,,,6.4,11.8,15.84,4,MANUAL_WALL_NODE,false,W12
N,611006,NODE,,,,6.4,12.25,19.8,5,MANUAL_WALL_NODE,false,W12
N,612001,NODE,,,,-0.25,0.0,0.0,0,MANUAL_WALL_NODE,true,W13
N,612002,NODE,,,,-0.25,1.45,3.96,1,MANUAL_WALL_NODE,false,W13
N,612003,NODE,,,,-0.25,2.9,7.92,2,MANUAL_WALL_NODE,false,W13
N,612004,NODE,,,,-0.25,4.35,11.88,3,MANUAL_WALL_NODE,false,W13
N,612005,NODE,,,,-0.25,5.8,15.84,4,MANUAL_WALL_NODE,false,W13
N,612006,NODE,,,,-0.25,7.25,19.8,5,MANUAL_WALL_NODE,false,W13
N,613001,NODE,,,,3.3,2.305,0.0,0,MANUAL_WALL_NODE,true,W14
N,613002,NODE,,,,3.98,2.305,3.96,1,MANUAL_WALL_NODE,false,W14
N,613003,NODE,,,,4.66,2.305,7.92,2,MANUAL_WALL_NODE,false,W14
N,613004,NODE,,,,5.34,2.305,11.88,3,MANUAL_WALL_NODE,false,W14
N,613005,NODE,,,,6.02,2.305,15.84,4,MANUAL_WALL_NODE,false,W14
N,613006,NODE,,,,6.7,2.305,19.8,5,MANUAL_WALL_NODE,false,W14
N,614001,NODE,,,,3.3,2.305,0.0,0,MANUAL_WALL_NODE,true,W15
N,614002,NODE,,,,3.3,2.621,3.96,1,MANUAL_WALL_NODE,false,W15
N,614003,NODE,,,,3.3,2.937,7.92,2,MANUAL_WALL_NODE,false,W15
N,614004,NODE,,,,3.3,3.253,11.88,3,MANUAL_WALL_NODE,false,W15
N,614005,NODE,,,,3.3,3.569,15.84,4,MANUAL_WALL_NODE,false,W15
N,614006,NODE,,,,3.3,3.885,19.8,5,MANUAL_WALL_NODE,false,W15
N,615001,NODE,,,,6.7,2.305,0.0,0,MANUAL_WALL_NODE,true,W16
N,615002,NODE,,,,6.7,2.621,3.96,1,MANUAL_WALL_NODE,false,W16
N,615003,NODE,,,,6.7,2.937,7.92,2,MANUAL_WALL_NODE,false,W16
N,615004,NODE,,,,6.7,3.253,11.88,3,MANUAL_WALL_NODE,false,W16
N,615005,NODE,,,,6.7,3.569,15.84,4,MANUAL_WALL_NODE,false,W16
N,615006,NODE,,,,6.7,3.885,19.8,5,MANUAL_WALL_NODE,false,W16
N,616001,NODE,,,,3.6,12.25,0.0,0,MANUAL_WALL_NODE,true,W17
N,616002,NODE,,,,6.4,12.25,3.96,1,MANUAL_WALL_NODE,false,W17
N,617001,NODE,,,,-0.25,16.4,0.0,0,MANUAL_WALL_NODE,true,W18
N,617002,NODE,,,,4.68,16.4,3.96,1,MANUAL_WALL_NODE,false,W18
N,618001,NODE,,,,6.48,16.4,0.0,0,MANUAL_WALL_NODE,true,W19
N,618002,NODE,,,,10.25,16.4,3.96,1,MANUAL_WALL_NODE,false,W19
N,619001,NODE,,,,10.25,-0.25,0.0,0,MANUAL_WALL_NODE,true,W20
N,619002,NODE,,,,10.25,16.4,3.96,1,MANUAL_WALL_NODE,false,W20
N,620001,NODE,,,,-0.25,-0.25,0.0,0,MANUAL_WALL_NODE,true,W21
N,620002,NODE,,,,10.25,-0.25,3.96,1,MANUAL_WALL_NODE,false,W21
N,621001,NODE,,,,-0.25,-0.25,0.0,0,MANUAL_WALL_NODE,true,W22
N,621002,NODE,,,,-0.25,16.4,3.96,1,MANUAL_WALL_NODE,false,W22
N,622002,NODE,,,,30.0,16.4,3.96,1,MANUAL_WALL_NODE,false,W23
N,622003,NODE,,,,45.0,16.4,7.92,2,MANUAL_WALL_NODE,false,W23
N,623002,NODE,,,,40.15,0.0,3.96,1,MANUAL_WALL_NODE,false,W24
N,623003,NODE,,,,40.15,16.4,7.92,2,MANUAL_WALL_NODE,false,W24
N,900000,NODE,,,,-32.05,0.0,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900001,NODE,,,,-0.25,0.0,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900002,NODE,,,,-0.25,7.25,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900003,NODE,,,,-32.05,16.15,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900004,NODE,,,,-0.25,16.15,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900005,NODE,,,,-32.05,11.885,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900006,NODE,,,,-24.55,11.885,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900007,NODE,,,,-32.05,4.265,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900008,NODE,,,,-24.55,4.265,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900009,NODE,,,,-28.3,0.0,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900010,NODE,,,,-28.3,16.15,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900011,NODE,,,,-24.55,0.0,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900012,NODE,,,,-24.55,16.15,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900013,NODE,,,,-15.8,0.0,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900014,NODE,,,,-15.8,16.15,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900015,NODE,,,,-5.8,0.0,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900016,NODE,,,,-5.8,16.15,3.96,1,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900017,NODE,,,,10.0,-4.12,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900018,NODE,,,,17.49,-4.12,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900019,NODE,,,,15.0,0.0,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900020,NODE,,,,15.0,16.15,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900021,NODE,,,,25.0,0.0,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900022,NODE,,,,25.0,16.15,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900023,NODE,,,,17.49,0.0,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900024,NODE,,,,35.0,0.0,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900025,NODE,,,,35.0,16.15,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900026,NODE,,,,20.0,-2.46,11.88,3,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900027,NODE,,,,25.0,0.0,11.88,3,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900028,NODE,,,,25.0,-2.46,11.88,3,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900029,NODE,,,,30.0,-2.46,11.88,3,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900030,NODE,,,,10.0,-2.46,15.84,4,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900031,NODE,,,,12.2,0.0,15.84,4,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900032,NODE,,,,12.2,-2.46,15.84,4,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900033,NODE,,,,12.2,7.25,15.84,4,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900034,NODE,,,,20.0,-4.12,15.84,4,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900035,NODE,,,,30.0,-4.12,15.84,4,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900036,NODE,,,,47.55,0.0,15.84,4,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900037,NODE,,,,47.55,16.15,15.84,4,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900038,NODE,,,,15.0,0.0,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900039,NODE,,,,15.0,16.15,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900040,NODE,,,,25.0,0.0,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900041,NODE,,,,25.0,16.15,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900042,NODE,,,,35.0,0.0,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900043,NODE,,,,35.0,16.15,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900044,NODE,,,,47.55,0.0,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900045,NODE,,,,47.55,16.15,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900046,NODE,,,,20.0,-4.12,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900047,NODE,,,,30.0,-4.12,19.8,5,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900048,NODE,,,,-32.05,0.0,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900049,NODE,,,,-0.25,0.0,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900050,NODE,,,,-0.25,7.25,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900051,NODE,,,,-32.05,16.15,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900052,NODE,,,,-0.25,16.15,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900053,NODE,,,,-32.05,11.885,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900054,NODE,,,,-24.55,11.885,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900055,NODE,,,,-32.05,4.265,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900056,NODE,,,,-24.55,4.265,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900057,NODE,,,,-28.3,0.0,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900058,NODE,,,,-28.3,16.15,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
N,900059,NODE,,,,-24.55,0.0,7.92,2,MANUAL_BEAM_NODE,false,BEAM_MANUAL
