caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,100451,-1.8321639477570093e-14,-3.7356377812317735e-14,-1.574243856455714e-11,1.1669885107204436e-14,-9.655274861735228e-14,-2.7920993542130382e-14
G,101001,4.1065961130170904e-13,2.43923176351239e-12,-0.00014066064060788445,-4.911775785350272e-07,1.4019064157375062e-05,-5.5842311668860866e-14
G,101101,-2.0295487831709528e-13,1.836229913166971e-12,-0.0009028579019337922,-9.705136197854081e-07,-3.407930254051363e-05,-5.584198622903288e-14
G,101201,5.086663913693184e-13,1.3443739009060765e-12,-0.0009126219198162067,-1.5456521620588016e-06,7.328510733550329e-06,-5.584198697847827e-14
G,101301,2.2552265560027455e-13,3.9311964278362695e-13,-3.398245537800082e-11,-1.911546034110681e-14,1.2788371345180512e-14,-2.7920993542130382e-14
G,101401,4.734743816757284e-13,1.0352684155902966e-13,-2.511554142688095e-11,8.295302251242507e-15,6.673809263177017e-13,-2.7920993542130382e-14
G,101451,1.6897249085038025e-13,-3.150454209341342e-14,-2.2507772825875914e-11,-3.7789611524149564e-15,-1.3650406298238415e-13,-2.7920993542130382e-14
G,102001,1.4249658091648984e-12,2.4345722232592956e-12,-0.00020114499129285138,-1.8935764176436704e-06,-5.8860085356636895e-06,-5.584230733487378e-14
G,102101,1.5183066131576917e-12,3.288774410428693e-12,-0.00026576505539147613,-2.8448796856547597e-05,8.532395719225158e-06,-5.5839660847870626e-14
G,102201,9.846689462620598e-13,1.3552069888628151e-12,-0.0006727729742385864,-2.725139549437442e-06,5.04303365844856e-06,-5.584198697847827e-14
G,102301,1.5175045059347194e-13,4.747109328383606e-13,-2.7010451914441993e-11,-8.84762165696839e-14,1.465067537293695e-12,-3.345689713087852e-14
G,102401,7.870191940521527e-13,4.844366187991667e-13,-2.0823827153322374e-11,1.1627889412092228e-12,1.7164071835781325e-12,-3.263475319449409e-14
G,102451,8.972962204137127e-13,-3.289757250278832e-14,-1.977328910619519e-11,-5.027459616044184e-14,-1.2701640410587562e-12,-3.353266648745754e-14
G,200001,-5.0820481356597705e-06,2.1048826217302424e-08,-0.0002495890573416249,4.816637138772015e-07,-1.8417976133954922e-06,9.759930295287967e-14
G,200101,-5.0820485392098895e-06,2.1050385376383193e-08,-0.0010176849093389928,0.0002930418170351682,0.0002326159597460359,9.759930171077417e-14
G,200201,-5.082047902603329e-06,2.1050925875283707e-08,-0.0017835103862258572,1.6017395802562565e-05,-0.00018024689243971393,9.759930324039871e-14
G,200301,-5.0820478726561225e-06,2.1051825076585615e-08,-0.000814431349892575,-1.1885103648792916e-05,2.3605787417884167e-06,9.759930294471721e-14
G,200401,-5.082048173010731e-06,2.1052344124139044e-08,-0.00031534897175403685,7.290304938570737e-06,-6.764146821885302e-05,1.002802998799504e-13
G,200451,-5.082048038765036e-06,2.1053192973098103e-08,-0.00041767436910622273,-3.866241467228108e-06,2.8005999650540656e-05,9.759930303528893e-14
G,201001,-5.082048888691478e-06,2.104880978330302e-08,-0.00025111347759724655,-3.4078604845123794e-06,9.519088484873386e-06,9.759904484168755e-14
G,201101,-5.082049431650556e-06,2.104975564610019e-08,-0.0016990374466284081,-2.2822760292339258e-05,0.0002767561658450074,9.75993027851272e-14
G,201201,-5.082048726855181e-06,2.105079148516424e-08,-0.0018124284752969225,6.166661071554871e-06,-3.316407981352553e-05,9.759930281377794e-14
G,201301,-5.08204883778877e-06,2.1051762053987606e-08,-0.0009090381055859468,6.2908925759188334e-06,-8.069355874925598e-06,9.759930332202922e-14
G,201401,-5.0820484365364105e-06,2.105271738625477e-08,-0.000670174292321518,-2.7528513289216387e-06,-0.0002240417057391716,9.759930258693947e-14
G,201451,-5.082048685731053e-06,2.1053209977680388e-08,-0.0005999241967887158,1.230858400925791e-06,4.118729657939234e-05,9.759930249940337e-14
G,202001,-5.0820491328768575e-06,2.1048804844620947e-08,-0.0005246111269097182,-5.43713622620458e-06,-0.00021577748736105467,9.759929348742953e-14
G,202101,-5.082050126547468e-06,2.1049899164966146e-08,-0.0008889261663457081,2.4446668254849964e-05,0.00020280886941130503,9.759930251276092e-14
G,202201,-5.082049643323705e-06,2.1050807136016186e-08,-0.0013327305930451651,1.0884610603586086e-05,-2.402217221831546e-05,9.759930271150824e-14
