kind,id,type,i,j,x_m,y_m,z_m,level,status
N,604004,NODE,,,,-0.575,4.42,11.88,3,MANUAL_WALL_NODE
N,604005,NODE,,,,-0.575,6.009999999999999,15.84,4,MANUAL_WALL_NODE
N,604006,NODE,,,,-0.575,7.6,19.8,5,MANUAL_WALL_NODE
N,605001,NODE,,,,-0.575,9.65,0.0,0,MANUAL_WALL_NODE
N,605002,NODE,,,,-0.575,11.275,3.96,1,MANUAL_WALL_NODE
N,605003,NODE,,,,-0.575,12.899999999999999,7.92,2,MANUAL_WALL_NODE
N,605004,NODE,,,,-0.575,14.524999999999999,11.88,3,MANUAL_WALL_NODE
N,605005,NODE,,,,-0.575,16.15,15.84,4,MANUAL_WALL_NODE
N,606005,NODE,,,,-0.575,6.545,15.84,4,MANUAL_WALL_NODE
N,606006,NODE,,,,-0.575,13.045,19.8,5,MANUAL_WALL_NODE
N,607001,NODE,,,,-0.575,13.045,0.0,0,MANUAL_WALL_NODE
N,607002,NODE,,,,-1.104,13.045,3.96,1,MANUAL_WALL_NODE
N,607003,NODE,,,,-1.633,13.045,7.92,2,MANUAL_WALL_NODE
N,607004,NODE,,,,-2.162,13.045,11.88,3,MANUAL_WALL_NODE
N,607005,NODE,,,,-2.691,13.045,15.84,4,MANUAL_WALL_NODE
N,607006,NODE,,,,-3.2200000000000006,13.045,19.8,5,MANUAL_WALL_NODE
N,608001,NODE,,,,-3.22,10.1,0.0,0,MANUAL_WALL_NODE
N,608002,NODE,,,,-3.22,10.689,3.96,1,MANUAL_WALL_NODE
N,608003,NODE,,,,-3.22,11.277999999999999,7.92,2,MANUAL_WALL_NODE
N,608004,NODE,,,,-3.22,11.866999999999999,11.88,3,MANUAL_WALL_NODE
N,608005,NODE,,,,-3.22,12.456,15.84,4,MANUAL_WALL_NODE
N,608006,NODE,,,,-3.22,13.045,19.8,5,MANUAL_WALL_NODE
N,609002,NODE,,,,-0.25,12.25,3.96,1,MANUAL_WALL_NODE
N,609003,NODE,,,,1.4125,12.25,7.92,2,MANUAL_WALL_NODE
N,609004,NODE,,,,3.075000000000001,12.25,11.88,3,MANUAL_WALL_NODE
N,609005,NODE,,,,4.7375,12.25,15.84,4,MANUAL_WALL_NODE
N,609006,NODE,,,,6.4,12.25,19.8,5,MANUAL_WALL_NODE
N,610001,NODE,,,,3.6,10.0,0.0,0,MANUAL_WALL_NODE
N,610002,NODE,,,,3.6,10.45,3.96,1,MANUAL_WALL_NODE
N,610003,NODE,,,,3.6,10.9,7.92,2,MANUAL_WALL_NODE
N,610004,NODE,,,,3.6,11.35,11.88,3,MANUAL_WALL_NODE
N,610005,NODE,,,,3.6,11.8,15.84,4,MANUAL_WALL_NODE
N,610006,NODE,,,,3.6,12.25,19.8,5,MANUAL_WALL_NODE
N,611001,NODE,,,,6.4,10.0,0.0,0,MANUAL_WALL_NODE
N,611002,NODE,,,,6.4,10.45,3.96,1,MANUAL_WALL_NODE
N,611003,NODE,,,,6.4,10.9,7.92,2,MANUAL_WALL_NODE
N,611004,NODE,,,,6.4,11.35,11.88,3,MANUAL_WALL_NODE
