caso,bloque,z_m,cm_x_m,cm_y_m,fuerza_kN,ux_cm_m,uy_cm_m,rz_rad,ux_master_m,uy_master_m,master_x_m,master_y_m
R,LT2,15.84,-17.713412956672663,8.33120675955472,0.0,0.003544282598087397,-0.0005297749160176724,-9.728810315074904e-12,0.003544282529117849,-0.0005297747765397365,-32.05,1.2419999999999998
R,LT1,19.8,24.81062267798547,7.029230343813884,0.0,0.004914789941607574,-0.0007375110879789435,-1.5775412214856147e-08,0.004914679052601348,-0.000737119690178891,0.0,0.0
R,LT2,19.8,-18.231988668591963,8.262057924227996,0.0,0.004567199138541494,-0.0005619843880769587,-1.0048624402881313e-11,0.004567199073857917,-0.0005619842492249528,-32.05,1.825
EXG,LT1,3.96,9.581286738801698,8.280217117998859,0.0,3.0948145729614946e-11,2.18394562050945e-11,-7.903034913157308e-13,2.4427466328792782e-11,2.97242521762371e-11,0.0,0.0
EXG,LT2,3.96,-17.6408629658982,8.281091931580269,0.0,0.00035991004963661775,-4.280722475194274e-07,2.8380551081076836e-13,0.0003599100519976314,-4.280762031109625e-07,-31.679999999999996,0.0
EXG,LT1,7.92,21.47951562275455,7.880785872667446,0.0,0.0007039810507163772,-3.201921150350392e-06,1.052932297148492e-08,0.0007040645293241038,-3.4274452397763644e-06,0.0,0.0
EXG,LT2,7.92,-17.894092051651988,8.299402816317036,0.0,0.0011875688244342673,-3.754435369837057e-06,-1.3421817496536495e-12,0.001187568813349173,-3.7544164525315915e-06,-32.05,0.07599999999999985
EXG,LT1,11.88,20.881144798066217,7.468772582357824,0.0,0.0022335774737265164,2.2831859282967184e-05,1.002216344733206e-06,0.002241107851798953,2.0224043812979295e-06,0.0,0.0
EXG,LT2,11.88,-17.89378631441425,8.300052781071832,0.0,0.0023825228240579996,-9.891299718122017e-06,-3.303923008589209e-12,0.002382522798694884,-9.891253150238621e-06,-32.05,0.6589999999999998
EXG,LT1,15.84,23.810153513520955,7.538736994116187,0.0,0.0035319105217028034,-1.5254457349203487e-05,-1.4809637424954216e-11,0.003531910410363545,-1.5254104810674622e-05,0.0,0.0
EXG,LT2,15.84,-17.713412956672663,8.33120675955472,0.0,0.003531910404491687,-1.5254082022524508e-05,-1.3411027168457014e-12,0.0035319103949459658,-1.5254062873482269e-05,-32.05,1.2419999999999998
EXG,LT1,19.8,24.81062267798547,7.029230343813884,0.0,0.004543647545581152,-6.34222357242433e-05,1.4238074601199792e-09,0.004543657370454363,-6.345734176072282e-05,0.0,0.0
EXG,LT2,19.8,-18.231988668591963,8.262057924227996,0.0,0.004275404679096613,-1.767345700128686e-05,-1.0143153987362623e-12,0.0042754046725845315,-1.7673443008826385e-05,-32.05,1.825
EXQ,LT1,3.96,9.581286738801698,8.280217117998859,0.0,9.002968738275732e-12,7.862058123269025e-12,-2.332004338709527e-13,6.973675737544269e-12,8.771321752860033e-12,0.0,0.0
EXQ,LT2,3.96,-17.6408629658982,8.281091931580269,0.0,0.0001095964933694272,-1.2779347148945794e-07,2.8347556029469507e-13,0.00010959649565333012,-1.2779762084970964e-07,-31.679999999999996,0.0
EXQ,LT1,7.92,21.47951562275455,7.880785872667446,0.0,0.00020722716356364455,-9.335270262364801e-07,3.1522747719753295e-09,0.00020725094717658437,-1.0025950153281077e-06,0.0,0.0
EXQ,LT2,7.92,-17.894092051651988,8.299402816317036,0.0,0.00035431920719739614,-1.1000956532346735e-06,-3.0340851544887224e-13,0.00035431920476712667,-1.1000912463934056e-06,-32.05,0.07599999999999985
EXQ,LT1,11.88,20.881144798066217,7.468772582357824,0.0,0.0006549356391037684,8.278827923870257e-06,3.747040970778156e-07,0.0006576209659166236,1.5802288629245223e-07,0.0,0.0
EXQ,LT2,11.88,-17.89378631441425,8.300052781071832,0.0,0.0007018813497534575,-2.828817933776033e-06,-7.700982191417089e-13,0.0007018813440335447,-2.828806748170852e-06,-32.05,0.6589999999999998
EXQ,LT1,15.84,23.810153513520955,7.538736994116187,0.0,0.0010313376369878715,-4.290125434503188e-06,-2.387992149576726e-12,0.0010313376185804711,-4.290068468815588e-06,0.0,0.0
EXQ,LT2,15.84,-17.713412956672663,8.33120675955472,0.0,0.0010313376174691047,-4.290066524374258e-06,-1.2098380768503038e-13,0.0010313376166321457,-4.290064747866475e-06,-32.05,1.2419999999999998
EXQ,LT1,19.8,24.81062267798547,7.029230343813884,0.0,0.0013325715548088957,-1.7798940773254005e-05,1.0153068642805942e-10,0.0013325723436623635,-1.7801549786823233e-05,0.0,0.0
EXQ,LT2,19.8,-18.231988668591963,8.262057924227996,0.0,0.0012403283423149606,-4.947953032374138e-06,-2.949181268050647e-13,0.0012403283403556297,-4.947948874082308e-06,-32.05,1.825
EYG,LT1,3.96,9.581286738801698,8.280217117998859,0.0,-2.1476697778826406e-13,3.939645319139605e-11,-8.609852795906181e-13,-7.318631554788783e-12,4.798643582253322e-11,0.0,0.0
EYG,LT2,3.96,-17.6408629658982,8.281091931580269,0.0,7.224282494776682e-08,0.00047831461290893647,-7.107768676279416e-11,7.165152074500938e-08,0.000478315603567276,-31.679999999999996,0.0
EYG,LT1,7.92,21.47951562275455,7.880785872667446,0.0,-1.347323592864688e-06,0.0003670426796688743,-1.692585570284458e-08,-1.4815152092184332e-06,0.00036740520897920857,0.0,0.0
EYG,LT2,7.92,-17.894092051651988,8.299402816317036,0.0,2.7835305026421684e-07,0.0011006810797979602,-1.8077052284076852e-11,2.782037516822049e-07,0.0011006813345839606,-32.05,0.07599999999999985
EYG,LT1,11.88,20.881144798066217,7.468772582357824,0.0,1.4203781882630106e-06,0.0014181294296199628,1.0211728711730212e-05,7.814850019165758e-05,0.0012060988543738573,0.0,0.0
EYG,LT2,11.88,-17.89378631441425,8.300052781071832,0.0,3.1595706037052483e-07,0.001684130717675309,1.0528864474846805e-11,3.160378869532381e-07,0.0016841305692738688,-32.05,0.6589999999999998
EYG,LT1,15.84,23.810153513520955,7.538736994116187,0.0,-2.153477659707151e-05,0.0021725973592012994,5.566343027671037e-10,-2.1530591805187198e-05,0.0021725841087055185,0.0,0.0
