caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,302001,-2.431292914681467e-05,-2.4180651633355733e-05,-0.0006827881983145484,4.92046470991725e-06,-0.0002527655397303249,7.219164708593191e-07
G,302101,-2.4312928039995512e-05,-1.6961486950267024e-05,-0.001355910192221095,1.8093418301769136e-05,0.00019633374021661883,7.219164708593051e-07
G,302201,-2.43129282611334e-05,-9.742322211628683e-06,-0.0018271862983036528,1.3968416362379904e-05,-1.8295770879086005e-05,7.219164708593051e-07
G,302301,-2.4312928247072872e-05,-2.5231574823096083e-06,-0.0009436652830043606,1.5200199696708026e-05,-3.248407429583984e-06,7.219164708593051e-07
G,302401,-2.4312928098354558e-05,4.6960072564285035e-06,-0.0007132846896450047,1.453311107482704e-05,-0.00016363070897356438,7.219164708593051e-07
G,302451,-2.431292816276314e-05,8.305589583138183e-06,-0.0004192679469999501,6.854300461665917e-06,4.844528388746041e-06,7.219164708593052e-07
G,400001,-2.5238062656578955e-11,1.6726994663832788e-10,-0.0006464704560449807,-2.6511355939026247e-06,1.3643467372448963e-05,-3.2547320485946005e-12
G,400101,-2.59144926310348e-11,1.3402699223285012e-10,-0.0019066772729173062,-1.8875816206747685e-05,0.0002212645961178536,-3.253829577830336e-12
G,400201,-2.5301372909988684e-11,1.0309611163368029e-10,-0.0029981119092668943,0.0002567176857216989,1.710912258381344e-05,-3.253829586272089e-12
G,400301,-2.535369804973899e-11,7.063079249539088e-11,-0.001999958873891786,0.0002651028606738244,-4.340613210808296e-05,-3.25382958606597e-12
G,400401,-2.463456492802412e-11,3.709395824929804e-11,-0.0009880405766592747,-1.535052060408528e-05,-0.00010036546746274274,-3.253829586175e-12
G,400451,-2.5327893682507845e-11,2.0822563659229966e-11,-0.0006127522116471904,-1.0241495803018159e-05,-3.494739363931176e-05,-3.2538295864112343e-12
G,400501,-1.2404572319464537e-11,2.279284141839039e-12,-4.907967413581114e-12,-7.824670874538624e-14,-1.238242390627903e-12,-1.6273706534153766e-12
G,401001,-1.7006242015158946e-12,1.6721075481611205e-10,-0.0009949251577189317,-6.893104491150101e-06,-5.772994652743185e-05,-3.2538300615600616e-12
G,401101,-2.1597765147406613e-12,1.3478294732239654e-10,-0.002724884096155741,-9.123899852872038e-06,0.0002858884403350262,-3.253829586858233e-12
G,401201,-1.527930832283167e-12,1.0214334571222491e-10,-0.00293141762285264,-6.263884640692623e-06,-9.81494481281765e-06,-3.2538295865152595e-12
G,401301,-1.651803204101679e-12,6.959442900285709e-11,-0.0020366635417495512,-8.296069206320653e-06,-1.896026064407495e-05,-3.2538295864602774e-12
G,401401,-1.2481062238586766e-12,3.7127013791080266e-11,-0.0015383718465976637,-8.413477068397845e-06,-0.00019818948272943093,-3.2538295860551835e-12
G,401451,-1.7618539206807695e-12,2.0854076167774796e-11,-0.000919061081582192,-6.039006555250164e-06,-4.2603886882644586e-05,-3.253829586562257e-12
G,401501,-4.96054927648244e-13,2.286915249506903e-12,-8.257998779372325e-12,-9.576340949898473e-14,-1.9878864134954976e-12,-1.6273706533678567e-12
G,402001,2.77156352497756e-11,1.673085531328464e-10,-0.0006645949224378747,-4.507851388526074e-06,0.0001898164736572973,-3.25382957067372e-12
G,402101,2.6886229419720495e-11,1.3479685918280742e-10,-0.0016666156127316694,3.993987008494776e-06,0.00012690504085209533,-3.25382958648576e-12
G,402201,2.74078268023451e-11,1.0225112374083479e-10,-0.0021549694522200384,1.705850761632127e-06,-2.8065521231322227e-06,-3.2538295863546726e-12
G,402301,2.7297261069580757e-11,6.970748115933313e-11,-0.0012786763544310575,2.2904354918356025e-06,-1.308552143014513e-05,-3.253829586362414e-12
G,402401,2.756117896545267e-11,3.7144047110340456e-11,-0.0009640737417205148,9.472975304145964e-07,-0.0001374923899215452,-3.253829586218859e-12
G,402451,2.7238156201975058e-11,2.086853881989856e-11,-0.0005835157992586434,-1.031185229021909e-06,-2.189015773040155e-05,-3.2538295866438093e-12
