caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,701003,-1.0573201525409768e-05,-1.0246493870763294e-05,-0.00013176109936023994,1.3930714964194105e-06,-3.284921506425954e-06,-1.058283130777971e-12
G,701004,-1.0573211308586023e-05,-1.0246465343539018e-05,-0.0009343074170389205,-9.760235821837306e-06,0.00017990086917462809,-1.0583165652356772e-12
G,701005,-1.0573211079603966e-05,-1.0246473271696694e-05,-0.0010507232906456717,-4.564749207388025e-06,5.078433943816028e-05,-1.0583165663364145e-12
G,701006,-1.0573210986004741e-05,-1.0246483853765473e-05,-0.001120808986221716,-3.5304802889011202e-06,2.6015872813935863e-05,-1.0583165663256903e-12
G,701007,-1.0573218572748473e-05,-1.0246473286677576e-05,-0.0006683248390856206,-7.525261672767457e-06,-4.215334577963916e-05,-1.0583165662116134e-12
G,701008,-1.0573218657913929e-05,-1.0246483875730143e-05,-0.0006825321331146074,-9.685728796237724e-06,1.4779352658947213e-05,-1.0583165663510713e-12
G,702001,-2.1782271102152062e-05,-1.9909474437656176e-05,-0.001509224428475545,1.115223236066273e-05,-5.1580507332379446e-05,-4.599046114702623e-12
G,702002,-2.1782271069371975e-05,-1.990952042599327e-05,-0.001521914582793793,1.0435333351595928e-05,2.913091667646818e-05,-4.599046114725282e-12
G,702003,-2.178227105925362e-05,-1.990956622913623e-05,-0.0002586653458560655,-1.0226261561379249e-06,-4.271104181248094e-06,-4.599037407038568e-12
G,702004,-2.1782311938649067e-05,-1.9909439980982937e-05,-0.0016716850767476365,-1.3412777363448992e-05,0.00015061818142097664,-4.5990461148076995e-12
G,702005,-2.178231196955319e-05,-1.9909474464854357e-05,-0.001884170338559566,-9.39884250038038e-06,5.089353874114189e-05,-4.599046114765899e-12
G,702006,-2.1782311913408604e-05,-1.9909520456709436e-05,-0.002007999344744955,-8.92113514049093e-06,1.012986906877198e-05,-4.599046114752817e-12
G,702007,-2.1782345359797688e-05,-1.9909474483559673e-05,-0.0011988878967283381,-1.5923209216901622e-05,-2.7346618636672033e-05,-4.59904611481828e-12
G,702008,-2.178234528790137e-05,-1.990952047606837e-05,-0.0012273354005039054,-1.8487033448035724e-05,9.744041513929342e-06,-4.599046114803705e-12
G,703001,-2.4688640401265703e-05,-1.8188528450502496e-05,-0.001999410703458301,1.1456044068359491e-05,-4.253989458296633e-05,-8.006076041069393e-12
G,703002,-2.4688640270109922e-05,-1.818860850750873e-05,-0.0020226147992958277,1.0606744331742666e-05,3.728873754272875e-05,-8.006076041130367e-12
G,703003,-2.46886404024511e-05,-1.8188688979049732e-05,-0.00039368174767221543,-1.1196618594331845e-05,5.550008980272954e-06,-8.005813756778967e-12
