caso,elemento,Ni_kN,Vyi_kN,Vzi_kN,Ti_kNm,Myi_kNm,Mzi_kNm,Nj_kN,Vyj_kN,Vzj_kN,Tj_kNm,Myj_kNm,Mzj_kNm
G,86,828.6125025562206,-72.3638109489434,-4.268138254557533,0.07473651479094692,10.39597737539123,-142.1876238296313,-828.6125025562206,72.3638109489434,4.268138254557533,-0.07473651479094692,6.505850112656596,-144.37306752818446
G,87,1298.2336571900391,76.22726995329097,-3.171159099567739,0.07473651479094699,7.484072090861239,80.90800689812306,-1298.2336571900391,-76.22726995329097,3.171159099567739,-0.07473651479094699,5.0737179434270026,220.9519821169091
G,88,1167.9675951539032,-27.67357728314522,-7.084556780053826,-2.9687360799942826e-06,14.27970165486871,-55.09679712213493,-1167.9675951539032,27.67357728314522,7.084556780053826,2.9687360799942826e-06,13.775143194144436,-54.49056891912011
G,89,1210.6961144360553,-3.4542857947450125,-7.063346831583009,-2.9687360799767808e-06,13.985958193331731,0.961624391309492,-1210.6961144360553,3.4542857947450125,7.063346831583009,2.9687360799767808e-06,13.984895259736977,-14.640596138499738
G,90,708.9409115867943,-3.9794934896766705,8.450070207466862,-2.9685996662762823e-06,-13.279277681421616,-2.483456927213063,-708.9409115867943,3.9794934896766705,-8.450070207466862,2.9685996662762823e-06,-20.18300034014715,-13.275337291906549
G,91,1288.2213435413496,67.14671470862808,3.6517307110301984,-2.968736080163081e-06,-10.61767740076067,135.06409992206295,-1288.2213435413496,-67.14671470862808,-3.6517307110301984,2.968736080163081e-06,-3.8431762149189135,130.83689032410416
G,92,1501.3342917998896,20.738127289923003,3.751601401192037,-2.9687360799545953e-06,-7.8868113449209645,37.93794385838525,-1501.3342917998896,-20.738127289923003,-3.751601401192037,2.9687360799545953e-06,-6.969530203799497,44.18504020970981
G,93,1592.793331193559,-1.9361759441160595,3.57527404778019,-2.9687360799725045e-06,-7.5350364543524275,-5.929419230574146,-1592.793331193559,1.9361759441160595,-3.57527404778019,2.9687360799725045e-06,-6.623048774857119,-1.7378375081254485
G,94,940.5696277872412,-17.111627804431727,8.30016608477429,-2.96873607992412e-06,-17.63348726208082,-33.629199265411664,-940.5696277872412,17.111627804431727,-8.30016608477429,2.96873607992412e-06,-15.235170433625356,-34.132846840137944
G,95,986.9307867324338,-2.3443806844838933,9.782640221471718,-2.9687360799573545e-06,-20.52788185088426,-6.565947265202658,-986.9307867324338,2.3443806844838933,-9.782640221471718,2.9687360799573545e-06,-18.211373426143737,-2.717800245353556
G,96,333.9956407486431,-35.788965618449964,-1.6401233054558129,0.0008179437165066832,8.863465376535327,-52.85953937416672,-333.9956407486431,35.788965618449964,1.6401233054558129,-0.0008179437165066832,-2.3685770869303076,-88.86476447489514
G,97,648.5712079298345,146.72058782031098,9.914389512316408,0.0008179438088248951,-14.482350853483648,250.66154492205672,-648.5712079298345,-146.72058782031098,-9.914389512316408,-0.0008179438088248951,-24.77863161528933,330.3519828463748
G,98,1097.1061853396407,-17.70175253536626,-166.8628318947706,0.0008179438088238292,301.93633537202334,-28.353278940468623,-1097.1061853396407,17.70175253536626,166.8628318947706,-0.0008179438088238292,358.8404789312684,-41.74566109958178
G,99,1101.5910111257922,-37.979245312752255,-171.32640296916105,0.0008179438088238378,311.2575678050337,-73.30062502151934,-1101.5910111257922,37.979245312752255,171.32640296916105,-0.0008179438088238378,367.19498795284426,-77.09718641697962
G,100,592.7993405840689,-143.965139946153,5.032976508978549,0.0008179438088238946,-7.107785449404886,-235.90092948429935,-592.7993405840689,143.965139946153,-5.032976508978549,-0.0008179438088238946,-12.822801526150169,-334.2010247024666
G,101,622.4283713945676,203.25684510737904,5.405107249340785,0.0008179438088240745,-7.316557834054835,369.63936422695497,-622.4283713945676,-203.25684510737904,-5.405107249340785,-0.0008179438088240745,-14.087666873334676,435.25774239826615
G,102,22.819660485109292,253.36624686418693,44.13734409300773,0.0008179437144404481,-87.20548527804937,520.3881372948194,-22.819660485109292,-253.36624686418693,-44.13734409300773,-0.0008179437144404481,-87.57839733026125,482.942200287361
G,103,385.75602613837174,-32.26331873828553,4.3708628153458795,0.0008179407509790186,-3.3086385386923993,-62.199477111575916,-385.75602613837174,32.26331873828553,-4.3708628153458795,-0.0008179407509790186,-13.99997821007729,-65.56326509203478
G,104,773.1401374719633,151.7532834957886,-3.6572033866476166,0.0008179438088413018,6.818554831024397,275.50114242143025,-773.1401374719633,-151.7532834957886,3.6572033866476166,-0.0008179438088413018,7.663970580100168,325.44186022189257
G,105,833.1507368914444,-39.05645648966146,-0.11249771373218878,0.0008179438088238776,2.935663606466253,-64.60373487643935,-833.1507368914444,39.05645648966146,0.11249771373218878,-0.0008179438088238776,-2.4901726600867855,-90.05983282262004
G,106,827.0257272664671,-17.29872400796301,1.665298222992229,0.0008179438088239251,-0.09645951499104122,-38.582662425094284,-827.0257272664671,17.29872400796301,-1.665298222992229,-0.0008179438088239251,-6.498121448058187,-29.92028464643925
G,107,556.2845814095963,-168.63493194970562,-3.4745543653405937,0.0008179438088239582,6.6370847442075505,-299.93345123731075,-556.2845814095963,168.63493194970562,3.4745543653405937,-0.0008179438088239582,7.122150542541203,-367.86087928352356
G,108,828.0151280582886,274.48483620980306,-3.529246511112964,0.0008179438088239324,7.180035007979733,504.39612220418024,-828.0151280582886,-274.48483620980306,3.529246511112964,-0.0008179438088239324,6.795781176027606,582.5638291866402
