losa_id,area_neta_m2,espesor_m,densidad_kg_m3,masa_propia_kg,peso_propio_kN,G_losa_kN,adicional_G_kN,Q_losa_kN
1000376,0.005,0.15,2500.0,1.875,0.01838746875,0.031136,0.01274853125,0.024516625
1000377,0.06625,0.15,2500.0,24.84375,0.24363396093749998,0.412554,0.1689200390625,0.32484528125
1000378,0.025,0.15,2500.0,9.375,0.09193734375,0.155681,0.06374365625000002,0.073549875
1000379,0.1425,0.15,2500.0,53.43749999999999,0.524042859375,0.887379,0.3633361406250001,0.41923428749999997
1000380,0.7575,0.15,2500.0,284.0625,2.785701515625,4.717121,1.9314194843749997,2.2285612125
1000381,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.220649625
1000382,0.85,0.15,2500.0,318.75,3.1258696874999994,5.293139,2.1672693125000007,2.0839127
1000383,0.05,0.15,2500.0,18.75,0.1838746875,0.311361,0.1274863125,0.1225831
1000384,0.675,0.15,2500.0,253.12500000000003,2.4823082812500004,4.203375,1.72106671875,1.65487185
1000385,0.025,0.15,2500.0,9.375,0.09193734375,0.155681,0.06374365625000002,0.06129155
1000386,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.18387464999999997
1000387,0.75,0.15,2500.0,281.25,2.7581203124999996,4.670417,1.9122966875,1.8387464999999998
1000388,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.44129925
1000389,0.486,0.15,2500.0,182.24999999999997,1.7872619624999995,3.02643,1.2391680375000005,2.38301595
1000390,0.012,0.15,2500.0,4.5,0.044129925,0.074727,0.030597075,0.0588399
1000391,0.411,0.15,2500.0,154.125,1.51144993125,2.559389,1.0479390687499999,2.0152665749999996
1000392,0.252,0.15,2500.0,94.5,0.9267284249999999,1.56926,0.6425315750000002,1.2356379
1000393,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.18387464999999997
1000394,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.367749375
1000395,1.425,0.15,2500.0,534.375,5.24042859375,8.873792,3.63336340625,6.987238125
1000396,0.747,0.15,2500.0,280.125,2.74708783125,4.651735,1.9046471687500004,3.662783775
1000397,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.44129925
1000398,0.486,0.15,2500.0,182.24999999999997,1.7872619624999995,3.02643,1.2391680375000005,2.38301595
1000399,0.012,0.15,2500.0,4.5,0.044129925,0.074727,0.030597075,0.0588399
1000400,0.411,0.15,2500.0,154.125,1.51144993125,2.559389,1.0479390687499999,2.0152665749999996
1000401,0.252,0.15,2500.0,94.5,0.9267284249999999,1.56926,0.6425315750000002,1.2356379
1000402,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.2941995
1000403,0.4775,0.15,2500.0,179.06249999999997,1.7560032656249995,2.973499,1.2174957343750004,1.87307015
1000404,0.012,0.15,2500.0,4.5,0.044129925,0.074727,0.030597075,0.0588399
1000405,0.411,0.15,2500.0,154.125,1.51144993125,2.559389,1.0479390687499999,2.0152665749999996
1000406,0.252,0.15,2500.0,94.5,0.9267284249999999,1.56926,0.6425315750000002,1.2356379
1000407,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.2941995
1000408,0.2,0.15,2500.0,75.0,0.73549875,1.245445,0.5099462499999999,0.980665
1000409,0.2,0.15,2500.0,75.0,0.73549875,1.245445,0.5099462499999999,0.980665
1000410,0.012,0.15,2500.0,4.5,0.044129925,0.074727,0.030597075,0.0588399
1000411,0.411,0.15,2500.0,154.125,1.51144993125,2.559389,1.0479390687499999,2.0152665749999996
1000412,0.252,0.15,2500.0,94.5,0.9267284249999999,1.56926,0.6425315750000002,1.2356379
1000413,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.2941995
1000414,1.175,0.15,2500.0,440.625,4.32105515625,7.316987,2.99593184375,4.6091255
1000415,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,4.903325
1000416,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,4.903325
1000417,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.2941995
1000418,0.7215,0.15,2500.0,270.5625,2.653311740625,4.492941,1.839629259375,2.83019919
1000419,0.558,0.15,2500.0,209.25000000000003,2.0520415124999998,3.47479,1.4227484875000003,2.18884428
1000420,0.045,0.15,2500.0,16.875,0.16548721874999997,0.280225,0.11473778125000003,0.1765197
1000421,0.7605,0.15,2500.0,285.18749999999994,2.796733996874999,4.735803,1.9390690031250006,2.98318293
1000422,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.3530394
1000423,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.44129925
1000424,0.735,0.15,2500.0,275.625,2.7029579062499995,4.577009,1.8740510937500008,3.6039438749999997
1000425,0.045,0.15,2500.0,16.875,0.16548721874999997,0.280225,0.11473778125000003,0.132389775
1000426,0.5145,0.15,2500.0,192.93749999999997,1.8920705343749997,3.203906,1.3118354656250002,1.5136564274999997
1000427,0.006,0.15,2500.0,2.25,0.0220649625,0.037363,0.0152980375,0.01765197
1000428,0.0795,0.15,2500.0,29.8125,0.292360753125,0.495064,0.20270324687500002,0.2338886025
1000429,0.03,0.15,2500.0,11.25,0.1103248125,0.186817,0.07649218750000002,0.08825985
1000430,0.171,0.15,2500.0,64.125,0.62885143125,1.064855,0.4360035687500001,0.503081145
1000431,0.909,0.15,2500.0,340.875,3.3428418187499997,5.660545,2.31770318125,2.674273455
1000432,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.26477955
1000433,0.336,0.15,2500.0,126.0,1.2356379,2.092347,0.8567091000000002,0.6590068800000001
1000434,0.1,0.15,2500.0,37.5,0.367749375,0.622722,0.254972625,0.196133
1000435,0.962,0.15,2500.0,360.74999999999994,3.537748987499999,5.990588,2.4528390125000006,1.88679946
1000436,0.744,0.15,2500.0,279.0,2.7360553499999996,4.633054,1.89699865,1.45922952
1000437,0.06,0.15,2500.0,22.5,0.220649625,0.373633,0.152983375,0.1176798
1000438,1.014,0.15,2500.0,380.24999999999994,3.7289786624999994,6.314404,2.5854253375000003,1.98878862
1000439,0.12,0.15,2500.0,45.0,0.44129925,0.747267,0.30596775000000004,0.2353596
1000440,0.12,0.15,2500.0,45.0,0.44129925,0.747267,0.30596775000000004,0.2353596
1000441,0.98,0.15,2500.0,367.5,3.603943875,6.102678,2.498734125,1.9221034
1000442,0.06,0.15,2500.0,22.5,0.220649625,0.373633,0.152983375,0.1176798
1000443,0.686,0.15,2500.0,257.25,2.5227607125,4.271875,1.7491142874999999,1.3454723800000001
1000444,0.008,0.15,2500.0,2.9999999999999996,0.029419949999999993,0.049818,0.020398050000000008,0.01569064
1000445,0.106,0.15,2500.0,39.74999999999999,0.3898143374999999,0.660086,0.27027166250000006,0.20790097999999999
1000446,0.268,0.15,2500.0,100.5,0.9855683249999999,1.668896,0.683327675,0.52563644
1000447,1.212,0.15,2500.0,454.5,4.457122425,7.547394,3.090271575,2.37713196
1000448,0.12,0.15,2500.0,45.0,0.44129925,0.747267,0.30596775000000004,0.2353596
1000449,0.335916,0.15,2500.0,125.96849999999999,1.2353289905249998,2.091824,0.8564950094750001,0.65884212828
1000450,0.099975,0.15,2500.0,37.490625,0.36765743765625003,0.622567,0.25490956234374995,0.19608396674999998
1000451,0.375025,0.15,2500.0,140.634375,1.3791520935937498,2.335364,0.9562119064062504,1.8388694581249998
1000452,0.4625,0.15,2500.0,173.43750000000003,1.7008408593750002,2.880091,1.179250140625,2.2677878125
1000453,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.367749375
1000454,0.8625,0.15,2500.0,323.4375,3.171838359375,5.37098,2.199141640625,4.2291178125
1000455,0.9375,0.15,2500.0,351.5625,3.447650390625,5.838021,2.3903706093750006,4.5968671875
1000456,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,6.129156249999999
1000457,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,6.129156249999999
1000458,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,6.129156249999999
1000459,0.645,0.15,2500.0,241.875,2.37198346875,4.016559,1.6445755312500001,3.162644625
1000460,0.605,0.15,2500.0,226.875,2.2248837187499997,3.76747,1.5425862812500002,2.966511625
1000461,0.082075,0.15,2500.0,30.778125,0.30183029953124996,0.511099,0.20926870046875,0.402440399375
1000462,0.005425,0.15,2500.0,2.0343750000000003,0.01995040359375,0.033783,0.013832596406250001,0.026600538125
1000463,0.0625,0.15,2500.0,23.4375,0.22984335937499997,0.389201,0.15935764062500005,0.153228875
1000464,0.60125,0.15,2500.0,225.46874999999997,2.2110931171874997,3.744118,1.5330248828125002,1.4740617774999998
1000465,0.465,0.15,2500.0,174.37500000000003,1.71003459375,2.895659,1.18562440625,1.14002283
1000466,0.0375,0.15,2500.0,14.0625,0.137906015625,0.233521,0.09561498437500002,0.09193732499999999
1000467,0.63375,0.15,2500.0,237.65625000000003,2.3306116640625,3.946502,1.6158903359375003,1.5537407925
1000468,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.18387464999999997
1000469,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.367749375
1000470,0.6125,0.15,2500.0,229.6875,2.252464921875,3.814174,1.5617090781249998,3.0032865625
1000471,0.0375,0.15,2500.0,14.0625,0.137906015625,0.233521,0.09561498437500002,0.1838746875
1000472,0.42875,0.15,2500.0,160.78125,1.5767254453125,2.669922,1.0931965546875002,2.10230059375
1000473,0.005,0.15,2500.0,1.875,0.01838746875,0.031136,0.01274853125,0.024516625
1000474,0.06625,0.15,2500.0,24.84375,0.24363396093749998,0.412554,0.1689200390625,0.32484528125
1000475,0.1675,0.15,2500.0,62.81250000000001,0.615980203125,1.04306,0.4270797968750001,0.4927841625
1000476,0.7575,0.15,2500.0,284.0625,2.785701515625,4.717121,1.9314194843749997,2.2285612125
1000477,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.220649625
1000478,0.85,0.15,2500.0,318.75,3.1258696874999994,5.293139,2.1672693125000007,2.0839127
1000479,0.05,0.15,2500.0,18.75,0.1838746875,0.311361,0.1274863125,0.1225831
1000480,0.675,0.15,2500.0,253.12500000000003,2.4823082812500004,4.203375,1.72106671875,1.65487185
1000481,0.1,0.15,2500.0,37.5,0.367749375,0.622722,0.254972625,0.2451662
1000482,0.75,0.15,2500.0,281.25,2.7581203124999996,4.670417,1.9122966875,1.8387464999999998
1000483,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.44129925
