caso,panel_id,source_wall_id,floor,z_cut_m,P_compresion_kN,M_principal_kNm,V_en_plano_kN,V_fuera_plano_kN,M_vertical_kNm,shells_corte,terminos_nodales
EX,1203,12,3,7.92,0.9011144077078076,0.36570694004665266,0.08534762173931192,348.93263022881064,6.1811202840544865e-06,1,2
EX,1204,12,4,11.88,4.136964308991647,-4.291370723405598,-1.6616018906921846,228.2118394629711,4.7800245397411345e-06,1,2
EX,1205,12,5,15.84,291.30511315602064,0.7801024646193184,80.90738671680644,30.79854122645245,32.29876253296966,1,2
EX,1301,13,1,0.0,-9.439659316397941,0.029490074755117668,0.022472799163271495,-258.12048268356824,-2.550465369210997e-05,4,8
EX,1302,13,2,3.96,-15.345133995998516,-0.884065749626286,-0.39726170608153566,601.3820267751182,-0.00010472073097389512,4,8
EX,1303,13,3,7.92,1.9357796201962487,0.7863443680115809,0.18362850580495715,749.5589981012841,-0.00012566290178028794,4,8
EX,1304,13,4,11.88,-62.316231440650185,-120.19731335297226,27.41718302373202,40.57997373288576,-71.76023552037935,4,8
EX,1305,13,5,15.84,35.709249266019604,-182.708414756408,-22.494078205801948,51.35796986282591,71.42542443546016,4,8
EX,1401,14,1,0.0,-4.426841121817247,95.87108832717087,72.62968766034669,0.017493258129425385,-1.8502017360127326e-07,2,4
EX,1402,14,2,3.96,-7.196228600384529,-2120.234650704489,-992.6628486678796,-0.03460869928306241,-4.964885545310355e-07,2,4
EX,1403,14,3,7.92,0.9077882748939601,-2668.949324516606,-1366.2588803220874,-0.08458548320710904,7.603852746965178e-07,2,4
EX,1404,14,4,11.88,4.167608281262005,-1935.96284472315,-1000.2510699718066,-0.029589717778757792,1.5930131326905017e-07,2,4
EX,1405,14,5,15.84,-13.550183589696985,-1536.702867767921,-577.9434046071377,-1.879720263005904,-15.048852789084124,2,4
EX,1501,15,1,0.0,-2.5714791179072822,0.008079833887424392,0.006112582501325514,-70.31557978488485,-5.822513884368163e-07,1,2
EX,1502,15,2,3.96,-4.180171001559698,-0.24072990195394217,-0.10827427117055421,163.82476087143567,-1.3353574672692048e-06,1,2
EX,1503,15,3,7.92,0.5273177626970086,0.21401324039826025,0.04994767260320443,204.19020829859016,-1.54092106185999e-06,1,2
EX,1504,15,4,11.88,2.4208916419934168,-2.5112370666510477,-0.9723403178811774,133.5461917764846,-1.2960360322722408e-06,1,2
EX,1505,15,5,15.84,-234.20655798615314,25.18873532990223,51.292778723864664,16.996980006062902,-12.334655355650366,1,2
EX,1601,16,1,0.0,-2.571469047652946,0.008068380219369953,0.006102880538612077,-70.31557978421625,-5.824274609267377e-07,1,2
EX,1602,16,2,3.96,-4.180155392342365,-0.24077851801567873,-0.10830506596214029,163.8247608735876,-1.3359241393118282e-06,1,2
EX,1603,16,3,7.92,0.5273173381267819,0.21393747005461683,0.04990939163567859,204.19020830317427,-1.5421282171246276e-06,1,2
EX,1604,16,4,11.88,2.420890018629803,-2.511311384662199,-0.9723735534908221,133.5461917719967,-1.294900819459599e-06,1,2
EX,1605,16,5,15.84,247.75674157584967,-105.85010242317975,-73.46657014380227,17.415956458599595,-12.643384798890667,1,2
EX,1701,17,1,0.0,-3.6456279688002127,78.95266936785768,59.812685928408825,0.014406265600628756,-3.915960678120556e-08,1,2
EX,1801,18,1,0.0,1.5248890857789619,3.723830783964491,5.446604953973802,-0.10283510625230147,0.2523253518720366,2,4
EX,1901,19,1,0.0,-3.8276469537671383,6.2079650513359645,6.260155560107041,0.05670538919215286,0.10605223309266201,2,4
EX,2001,20,1,0.0,6.353786377530568,-3.1481002112742704,0.06505263268879559,-26.631464695032058,-23.61667512620268,8,16
EX,2101,21,1,0.0,13.84769988666135,103.70298595716545,28.083781830905473,-0.2689973302243503,-1.4458336651114208,5,10
EX,2201,22,1,0.0,-5.119988193249908,5.40080860627045,-0.4603411995258111,-27.794499596541684,127.13439700526685,8,16
EX,2302,23,2,3.96,36.756698488602524,-18260.831088953764,-6692.2807201633805,-0.09416561431687387,15.482417699348456,8,16
EX,2402,24,2,3.96,-55.04476975287431,-49.33255235734583,4.278103070030982,154.12042612401444,-48.454915462917484,8,16
EY,101,1,1,0.0,-8.779576506727253,146.67810742038145,111.12222077926907,0.27933591102375077,1.746304440458646e-05,1,2
