wall_id,segmento,z_min_m,z_max_m,identificacion_plano,confianza,length_m,thickness_m,vertical_diameter_mm,vertical_spacing_mm,horizontal_diameter_mm,horizontal_spacing_mm,boundary_bars_each_end,boundary_diameter_mm,boundary_bars_left,boundary_diameter_left_mm,boundary_bars_right,boundary_diameter_right_mm,As_m2,punto,ramal,P_kN,M_kNm,c_m
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,B,-principal,14642.79911288369,-3270.9155456364733,1.8499999999999979
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,C,+principal,7859.566949053524,5524.758408778793,1.0799999999999987
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,C,-principal,7859.566949053524,-5524.758408778793,1.0799999999999987
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,D,+principal,6402.249559538853,5388.747938229113,0.8999999999999989
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,D,-principal,6402.249559538853,-5388.747938229113,0.8999999999999989
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,E,+principal,4578.477011616585,4911.951226739741,0.6749999999999992
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,E,-principal,4578.477011616585,-4911.951226739741,0.6749999999999992
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,F,+principal,0.0,2190.3687819258553,0.12103725035159019
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,F,-principal,0.0,-2190.3687819258553,0.12103725035159019
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,G,+principal,-2501.713061906624,0.0,0.0
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,G,-principal,-2501.713061906624,-0.0,0.0
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,A,+principal,15068.606709350575,0.0,
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,A,-principal,15068.606709350575,-0.0,
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,B,+principal,14642.79911288369,3270.9155456364733,1.8499999999999979
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,B,-principal,14642.79911288369,-3270.9155456364733,1.8499999999999979
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,C,+principal,7859.566949053524,5524.758408778793,1.0799999999999987
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,C,-principal,7859.566949053524,-5524.758408778793,1.0799999999999987
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,D,+principal,6402.249559538853,5388.747938229113,0.8999999999999989
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,D,-principal,6402.249559538853,-5388.747938229113,0.8999999999999989
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,E,+principal,4578.477011616585,4911.951226739741,0.6749999999999992
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,E,-principal,4578.477011616585,-4911.951226739741,0.6749999999999992
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,F,+principal,0.0,2190.3687819258553,0.12103725035159019
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,F,-principal,0.0,-2190.3687819258553,0.12103725035159019
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,G,+principal,-2501.713061906624,0.0,0.0
2,2,3.96,7.92,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,200,3,28,3,28,3,28,0.005956459671206248,G,-principal,-2501.713061906624,-0.0,0.0
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,A,+principal,14411.467207628584,0.0,
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,A,-principal,14411.467207628584,-0.0,
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,B,+principal,14142.452934370163,2967.9274606318927,1.8499999999999979
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,B,-principal,14142.452934370163,-2967.9274606318927,1.8499999999999979
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,C,+principal,7814.232603509388,4893.566516656547,1.0799999999999987
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,C,-principal,7814.232603509388,-4893.566516656547,1.0799999999999987
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,D,+principal,6409.506638568646,4746.885700997047,0.8999999999999989
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,D,-principal,6409.506638568646,-4746.885700997047,0.8999999999999989
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,E,+principal,4652.122924733738,4270.968748573872,0.6749999999999992
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,E,-principal,4652.122924733738,-4270.968748573872,0.6749999999999992
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,F,+principal,0.0,1423.483402715287,0.0956214836031177
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,F,-principal,0.0,-1423.483402715287,0.0956214836031177
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,G,+principal,-1617.6688891864562,0.0,0.0
2,3,7.92,11.88,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,G,-principal,-1617.6688891864562,-0.0,0.0
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,A,+principal,14411.467207628584,0.0,
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,A,-principal,14411.467207628584,-0.0,
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,B,+principal,14142.452934370163,2967.9274606318927,1.8499999999999979
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,B,-principal,14142.452934370163,-2967.9274606318927,1.8499999999999979
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,C,+principal,7814.232603509388,4893.566516656547,1.0799999999999987
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,C,-principal,7814.232603509388,-4893.566516656547,1.0799999999999987
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,D,+principal,6409.506638568646,4746.885700997047,0.8999999999999989
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,D,-principal,6409.506638568646,-4746.885700997047,0.8999999999999989
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,E,+principal,4652.122924733738,4270.968748573872,0.6749999999999992
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,E,-principal,4652.122924733738,-4270.968748573872,0.6749999999999992
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,F,+principal,0.0,1423.483402715287,0.0956214836031177
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,F,-principal,0.0,-1423.483402715287,0.0956214836031177
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,G,+principal,-1617.6688891864562,0.0,0.0
2,4,11.88,19.8,M-LT2-1-A',alta,1.8499999999999979,0.3,10,200,10,200,3,22,3,22,3,22,0.003851592593301086,G,-principal,-1617.6688891864562,-0.0,0.0
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,A,+principal,43980.91456717734,0.0,
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,A,-principal,43980.91456717734,-0.0,
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,B,+principal,43499.84090042614,13672.656439392893,2.9200000000000017
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,B,-principal,43499.84090042614,-13672.656439392893,2.9200000000000017
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,C,+principal,24853.649207067145,22038.490954454734,1.7220000000000013
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,C,-principal,24853.649207067145,-22038.490954454734,1.7220000000000013
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,D,+principal,20466.97375561555,21329.739691027513,1.4350000000000012
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,D,-principal,20466.97375561555,-21329.739691027513,1.4350000000000012
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,E,+principal,14980.633741145324,18989.44032780464,1.0762500000000008
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,E,-principal,14980.633741145324,-18989.44032780464,1.0762500000000008
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,F,+principal,0.0,4342.70618698058,0.10585508136256533
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,F,-principal,0.0,-4342.70618698058,0.10585508136256533
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,G,+principal,-3071.7236329739562,0.0,0.0
3,1,0.0,3.96,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,G,-principal,-3071.7236329739562,-0.0,0.0
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,A,+principal,43980.91456717734,0.0,
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,A,-principal,43980.91456717734,-0.0,
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,B,+principal,43499.84090042614,13672.656439392893,2.9200000000000017
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,B,-principal,43499.84090042614,-13672.656439392893,2.9200000000000017
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,C,+principal,24853.649207067145,22038.490954454734,1.7220000000000013
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,C,-principal,24853.649207067145,-22038.490954454734,1.7220000000000013
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,D,+principal,20466.97375561555,21329.739691027513,1.4350000000000012
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,D,-principal,20466.97375561555,-21329.739691027513,1.4350000000000012
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,E,+principal,14980.633741145324,18989.44032780464,1.0762500000000008
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,E,-principal,14980.633741145324,-18989.44032780464,1.0762500000000008
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,F,+principal,0.0,4342.70618698058,0.10585508136256533
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,F,-principal,0.0,-4342.70618698058,0.10585508136256533
3,2,3.96,7.92,M-LT2-3-A'-retorno,alta,2.9200000000000017,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,G,+principal,-3071.7236329739562,0.0,0.0
