z_m,slab_id,receptor,tag,area_m2,q_Q_kN_m2,Q_kN
7.92,1000024,beam,489,0.0,4.903325,0.0
7.92,1000024,beam,496,0.0,4.903325,0.0
7.92,1000024,beam,501,0.045,4.903325,0.220649625
7.92,1000024,beam,277,0.0,4.903325,0.0
7.92,1000024,beam,489,3.451025,4.903325,16.921497158125
7.92,1000024,beam,496,1.029613,4.903325,5.048527163224999
7.92,1000024,beam,501,1.505113,4.903325,7.380058200724999
7.92,1000025,beam,489,0.045,4.903325,0.220649625
7.92,1000025,beam,483,0.0,4.903325,0.0
7.92,1000025,beam,497,1.1445,4.903325,5.6118554625
7.92,1000025,beam,502,0.0,4.903325,0.0
7.92,1000025,beam,489,0.0,1.96133,0.0
7.92,1000025,beam,483,1.035,1.96133,2.0299765499999998
7.92,1000025,beam,497,0.045,1.96133,0.08825985
7.92,1000025,beam,502,0.045,1.96133,0.08825985
7.92,1000025,beam,489,3.470625,4.903325,17.017602328125
7.92,1000025,beam,483,2.480625,4.903325,12.163310578124998
7.92,1000025,beam,497,3.29175,4.903325,16.14052006875
7.92,1000025,beam,502,4.43625,4.903325,21.75237553125
7.92,1000026,beam,472,3.515625,4.903325,17.238251953124998
7.92,1000026,beam,477,3.515625,4.903325,17.238251953124998
7.92,1000026,beam,285,5.928718,4.903325,29.07043118735
7.92,1000026,beam,500,4.149407,4.903325,20.345891078275
7.92,1000026,beam,283,10.078125,4.903325,49.416322265625
7.92,1000027,beam,477,1.035,4.903325,5.074941374999999
7.92,1000027,beam,484,0.0,4.903325,0.0
7.92,1000027,beam,501,0.023435,4.903325,0.114909421375
7.92,1000027,beam,502,0.021565,4.903325,0.105740203625
7.92,1000027,beam,498,0.045,4.903325,0.220649625
7.92,1000027,beam,477,2.480625,4.903325,12.163310578124998
7.92,1000027,beam,484,0.0,4.903325,0.0
7.92,1000027,beam,501,1.892896,4.903325,9.281484279199999
7.92,1000027,beam,502,1.741791,4.903325,8.540567355075
7.92,1000027,beam,498,3.634687,4.903325,17.822051634275
