M_kNm,P_kN,caso,cumple,elemento,extremo,muro_origen,piso,tipo
-0.8840622433097334,-15.345137785934963,EX,True,1302,,13,2,MURO
0.7863498413194443,1.9357828397389159,EX,True,1303,,13,3,MURO
-120.19730443347925,-62.316234671626354,EX,True,1304,,13,4,MURO
-182.70848966068064,35.70923730626268,EX,True,1305,,13,5,MURO
95.87111687171165,-4.426842326149163,EX,True,1401,,14,1,MURO
-2120.2352517400077,-7.196230377704865,EX,True,1402,,14,2,MURO
-2668.949875875096,0.9077897847207623,EX,True,1403,,14,3,MURO
-1935.9627046217481,4.167608041275798,EX,True,1404,,14,4,MURO
-1536.7035214217658,-13.55018525405626,EX,True,1405,,14,5,MURO
0.008079794838452559,-2.571479817483918,EX,True,1501,,15,1,MURO
-0.2407289467592768,-4.180172033975625,EX,True,1502,,15,2,MURO
0.21401473131817095,0.527318639730456,EX,True,1503,,15,3,MURO
-2.5112356562317237,2.420891502588929,EX,True,1504,,15,4,MURO
25.18875226447308,-234.2066377605663,EX,True,1505,,15,5,MURO
0.008068341167234427,-2.5714697472267325,EX,True,1601,,16,1,MURO
-0.24077756283309792,-4.180156424754883,EX,True,1602,,16,2,MURO
0.21393896095578058,0.5273182151562896,EX,True,1603,,16,3,MURO
-2.5113099742496914,2.4208898792256064,EX,True,1604,,16,4,MURO
-105.85012959975563,247.756823014623,EX,True,1605,,16,5,MURO
78.95269287512839,-3.645628960601325,EX,True,1701,,17,1,MURO
3.723831280620182,1.5248885267913073,EX,True,1801,,18,1,MURO
6.207966924199372,-3.827648100558312,EX,True,1901,,19,1,MURO
-3.1481006984219624,6.353788404578351,EX,True,2001,,20,1,MURO
103.70301638524984,13.847704285564577,EX,True,2101,,21,1,MURO
5.400816629230247,-5.119990641493658,EX,True,2201,,22,1,MURO
-18260.83623552853,36.75670525476812,EX,True,2302,,23,2,MURO
-49.33255022292775,-55.044780089260925,EX,True,2402,,24,2,MURO
146.67813569748546,-8.779578758207855,EY,True,101,,1,1,MURO
-3592.3843555321937,-7.627610540750538,EY,True,102,,1,2,MURO
-3719.2343261884644,-4.506636986754756,EY,True,103,,1,3,MURO
-2696.042123506044,-1.831030519374508,EY,True,104,,1,4,MURO
-621.9256073539304,-0.43149241542772643,EY,True,105,,1,5,MURO
-0.0697576846858674,-2.785972112573975,EY,True,201,,2,1,MURO
-0.5105967564266826,-2.420424439056674,EY,True,202,,2,2,MURO
-2.118773654687937,-1.4300647252604144,EY,True,203,,2,3,MURO
-7.794277440162374,-0.581030313590853,EY,True,204,,2,4,MURO
-20.213300622236005,-0.13692285868323673,EY,True,205,,2,5,MURO
146.948742801219,5.867764446847431,EY,True,301,,3,1,MURO
-3598.543855146502,5.075171899775569,EY,True,302,,3,2,MURO
-3725.459186805264,2.9125414507254845,EY,True,303,,3,3,MURO
-2700.8744244907766,1.0658180255688876,EY,True,304,,3,4,MURO
-622.2595743905125,0.16890909081860173,EY,True,305,,3,5,MURO
-0.04826248814655498,1.858794639635318,EY,True,401,,4,1,MURO
-0.34997071739129926,1.6077162937656535,EY,True,402,,4,2,MURO
-1.7876987301040972,0.92263718672872,EY,True,403,,4,3,MURO
-7.5762480973008515,0.3376310642945137,EY,True,404,,4,4,MURO
-20.085464772938003,0.05350760923355402,EY,True,405,,4,5,MURO
172.6357740959852,-8.768600695188894,EY,True,501,,5,1,MURO
-4033.1957149221944,-6.098067867426948,EY,True,502,,5,2,MURO
-4152.120372539368,-7.136353216865473,EY,True,503,,5,3,MURO
-2992.265234655749,-258.93815206529894,EY,True,504,,5,4,MURO
-1067.8104493875144,5.684341886080802e-14,EY,True,505,,5,5,MURO
-1008.9141615819639,-421.9683805719736,EY,True,601,,6,1,MURO
-2959.070394286571,-369.8092894944594,EY,True,602,,6,2,MURO
-1138.0368277485486,-145.865624114964,EY,True,603,,6,3,MURO
369.5632908300435,-41.92261903561957,EY,True,604,,6,4,MURO
-729.8502521220017,-52.88405019144082,EY,True,705,,7,5,MURO
-0.14661873556896454,-3.5008279517793266,EY,True,801,,8,1,MURO
0.7127662399356451,-2.434631198609985,EY,True,802,,8,2,MURO
2.584761857061204,-2.8491588555108622,EY,True,803,,8,3,MURO
6.785646817329862,-103.37984055450802,EY,True,804,,8,4,MURO
22.901546960438473,105.88543033072553,EY,True,805,,8,5,MURO
63.95118061408262,-3.24824374234516,EY,True,901,,9,1,MURO
-1494.057914651753,-2.2589711551792675,EY,True,902,,9,2,MURO
-1538.1124379493535,-2.6435895359574033,EY,True,903,,9,3,MURO
-1108.4554290229569,-95.92111031632766,EY,True,904,,9,4,MURO
-197.2191794030963,-53.00138013928513,EY,True,905,,9,5,MURO
-1.1947502263421228,-4.080703915001022,EY,True,1002,,10,2,MURO
-4.332233716759391,-4.775520661929208,EY,True,1003,,10,3,MURO
-11.373506055736584,-173.27685147336578,EY,True,1004,,10,4,MURO
-438.25154763533766,216.07532640165738,EY,True,1005,,10,5,MURO
58.631127705031844,-2.9780151376203925,EY,True,1101,,11,1,MURO
-1369.764548418498,-2.071042070418912,EY,True,1102,,11,2,MURO
-1410.1540045093236,-2.423666356957483,EY,True,1103,,11,3,MURO
-1016.2409322619035,-87.9412602985771,EY,True,1104,,11,4,MURO
-1413.7411651992456,-1.1368683772161603e-13,EY,True,1105,,11,5,MURO
58.631152234620885,-2.9780285180789896,EY,True,1201,,12,1,MURO
-1369.764577472989,-2.0710586321416713,EY,True,1202,,12,2,MURO
