caso,elemento,tipo,eje,x_m,y_m,z_inferior_m,z_superior_m,nodo_inferior,nodo_superior,elementos_superiores,elementos_inferiores,P_compresion_kN,P_superior_kN,aporte_neto_nudo_kN,continuidad_nodal
Q,42,COLUMN,3B,-20.8,0.0,3.96,7.92,701007,702007,68,16,593.2968031391954,418.2507594900536,175.04604364914178,OK
Q,43,COLUMN,3C,-10.8,0.0,3.96,7.92,701008,702008,69,17,605.2437217796386,429.177654159407,176.0660676202316,OK
Q,44,COLUMN,E,0.0,0.0,7.92,11.88,200001,300001,70,18,65.57073772613133,15.253786643700415,50.31695108243091,OK
Q,45,COLUMN,F,10.0,0.0,7.92,11.88,200101,300101,71,19,479.5800740934698,258.97714669677197,220.60292739669785,OK
Q,46,COLUMN,G,20.0,0.0,7.92,11.88,200201,300201,72,20,665.3118222585525,406.079413772547,259.2324084860055,OK
Q,47,COLUMN,H,30.0,0.0,7.92,11.88,200301,300301,73,21,686.6637966032741,481.3518084436587,205.31198815961545,OK
Q,48,COLUMN,I,40.0,0.0,7.92,11.88,200401,300401,74,22,322.97556193465806,206.38991790873104,116.58564402592702,OK
Q,49,COLUMN,I_prima,45.0,0.0,7.92,11.88,200451,300451,75,23,349.85077466120316,317.14584116519256,32.7049334960106,OK
Q,50,COLUMN,E,0.0,7.25,7.92,11.88,201001,301001,76,24,73.88097842904459,262.31444480208285,-188.43346637303824,OK
Q,51,COLUMN,F,10.0,7.25,7.92,11.88,201101,301101,77,25,828.4442760244065,562.7530715090077,265.6912045153988,OK
Q,52,COLUMN,G,20.0,7.25,7.92,11.88,201201,301201,78,26,925.9278924977435,601.1747624528147,324.75313004492887,OK
Q,53,COLUMN,H,30.0,7.25,7.92,11.88,201301,301301,79,27,1025.1405299996436,692.2325832275294,332.9079467721142,OK
Q,54,COLUMN,I,40.0,7.25,7.92,11.88,201401,301401,80,28,721.9349883424035,463.03567209202726,258.8993162503762,OK
Q,55,COLUMN,I_prima,45.0,7.25,7.92,11.88,201451,301451,81,29,642.1905268479122,571.783463103102,70.40706374481022,OK
Q,56,COLUMN,E,0.0,16.15,7.92,11.88,202001,302001,82,30,142.54876047934124,-38.984767850424404,181.53352832976566,OK
Q,57,COLUMN,F,10.0,16.15,7.92,11.88,202101,302101,83,31,550.4207448877979,394.41333694781315,156.00740793998477,OK
Q,58,COLUMN,G,20.0,16.15,7.92,11.88,202201,302201,84,32,528.8248025897632,371.58610690169417,157.23869568806901,OK
Q,59,COLUMN,H,30.0,16.15,7.92,11.88,202301,302301,85,33,543.5630720208959,381.68711848077373,161.87595354012217,OK
Q,60,COLUMN,I,40.0,16.15,7.92,11.88,202401,302401,86,34,389.9035533070566,260.7494672655126,129.15408604154402,OK
Q,61,COLUMN,I_prima,45.0,16.15,7.92,11.88,202451,302451,87,35,390.7299787365459,352.5017685970449,38.228210139501016,OK
Q,62,COLUMN,1B,-20.8,16.15,7.92,11.88,702001,703001,88,36,536.6362660898718,314.0655562188771,222.57070987099473,OK
Q,63,COLUMN,1C,-10.8,16.15,7.92,11.88,702002,703002,89,37,550.3497722172725,324.45285335460625,225.89691886266627,OK
Q,64,COLUMN,1D,-0.8,16.15,7.92,11.88,702003,703003,90,38,124.120382169734,201.18731593463872,-77.06693376490472,OK
Q,65,COLUMN,2A,-28.3,7.25,7.92,11.88,702004,703004,91,39,647.3686712998077,371.8810731896729,275.4875981101348,OK
Q,66,COLUMN,2B,-20.8,7.25,7.92,11.88,702005,703005,92,40,874.2928969262607,500.83558896271376,373.45730796354695,OK
Q,67,COLUMN,2C,-10.8,7.25,7.92,11.88,702006,703006,93,41,1007.4642680846586,579.7438838279039,427.72038425675464,OK
Q,68,COLUMN,3B,-20.8,0.0,7.92,11.88,702007,703007,94,42,418.2507594900536,241.74738745560347,176.50337203445014,OK
Q,69,COLUMN,3C,-10.8,0.0,7.92,11.88,702008,703008,95,43,429.177654159407,251.91242929802317,177.2652248613838,OK
Q,70,COLUMN,E,0.0,0.0,11.88,15.84,300001,400001,96,44,15.253786643700415,122.24116988911082,-106.9873832454104,OK
Q,71,COLUMN,F,10.0,0.0,11.88,15.84,300101,400101,97,45,258.97714669677197,123.07048482971688,135.9066618670551,OK
Q,72,COLUMN,G,20.0,0.0,11.88,15.84,300201,400201,98,46,406.079413772547,218.5607606412995,187.5186531312475,OK
Q,73,COLUMN,H,30.0,0.0,11.88,15.84,300301,400301,99,47,481.3518084436587,294.93272394856126,186.41908449509742,OK
Q,74,COLUMN,I,40.0,0.0,11.88,15.84,300401,400401,100,48,206.38991790873104,130.11661735091477,76.27330055781627,OK
Q,75,COLUMN,I_prima,45.0,0.0,11.88,15.84,300451,400451,101,49,317.14584116519256,175.3106985040685,141.83514266112405,OK
Q,76,COLUMN,E,0.0,7.25,11.88,15.84,301001,401001,103,50,262.31444480208285,155.3009223267755,107.01352247530735,OK
