piso,bloque,z_m,nodo,x_m,y_m,G_kN,Q_kN,peso_sismico_kN,masa_t
1,LT1,3.96,3000320,41.25,16.4,21.662276934375015,-0.0,21.662276934375015,2.2089375000000016
1,LT1,3.96,3000321,43.125,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000322,45.0,16.4,13.652695546875,-0.0,13.652695546875,1.3921875000000001
1,LT1,3.96,3000333,40.15,0.0,13.268397449999998,-0.0,13.268397449999998,1.353
1,LT1,3.96,3000334,40.15,1.822222222222222,26.536794899999997,-0.0,26.536794899999997,2.706
1,LT1,3.96,3000335,40.15,3.644444444444444,26.536794899999997,-0.0,26.536794899999997,2.706
1,LT1,3.96,3000336,40.15,5.466666666666666,26.536794899999997,-0.0,26.536794899999997,2.706
1,LT1,3.96,3000337,40.15,7.288888888888888,26.536794900000004,-0.0,26.536794900000004,2.7060000000000004
1,LT1,3.96,3000338,40.15,9.11111111111111,26.536794899999997,-0.0,26.536794899999997,2.706
1,LT1,3.96,3000339,40.15,10.933333333333332,26.536794899999997,-0.0,26.536794899999997,2.706
1,LT1,3.96,3000340,40.15,12.755555555555555,26.536794899999997,-0.0,26.536794899999997,2.706
1,LT1,3.96,3000341,40.15,14.577777777777776,26.536794899999997,-0.0,26.536794899999997,2.706
1,LT2,3.96,701001,-20.8,16.15,303.99144014999996,101.60056904208747,354.7917246710437,36.17868738774645
1,LT2,3.96,701002,-10.8,16.15,333.14170715,116.09602602499999,391.1897201625,39.89025
1,LT2,3.96,701003,-0.8,16.15,47.57205915,-0.0,47.57205915,4.851
1,LT2,3.96,701004,-28.3,7.25,192.49817994999998,61.341637706562494,223.16899880328123,22.756904631375775
1,LT2,3.96,701005,-20.8,7.25,414.0795136499999,173.09288628896246,500.6259567944811,51.04964047809202
1,LT2,3.96,701006,-10.8,7.25,452.86251565,197.8393571,551.7821941999999,56.26612494582757
1,LT2,3.96,701007,-20.8,0.0,247.28678415000002,83.126681640625,288.8501249703125,29.454515555292836
1,LT2,3.96,701008,-10.8,0.0,269.72332665,95.001921875,317.2242875875,32.34787492033467
1,LT2,3.96,601002,-31.679999999999996,0.0,38.33370999999998,11.409866639289998,44.03864331964498,4.490691859059412
1,LT2,3.96,602002,-32.05,14.908999999999999,44.35991034999999,10.385872917595,49.55284680879749,5.05298412901424
1,LT2,3.96,603002,-31.679999999999996,16.15,46.43870149999998,11.318421099037499,52.097912049518726,5.312508557919242
